Name,IDA Count,INVA Count,AND2 Count,OR2 Count,XOR2 Count,NAND2 Count,NOR2 Count,XNOR2 Count,Count of Used Gates,Compressed Chr Size,a XOR b XOR c XOR d Count,(a AND b) XOR (c AND d) Count,Variability of Implementation of the Highest Bit of Product,"[Sum of All Gates, Sum of Used Gates by CGP]"
mult8_cgp14ep_ep13107_wc18_4_wtmcla,18,5,196,67,107,6,3,8,410,2897,76,34,"[0, 0, 7, 3, 5, 0, 0, 0]","[490, 410]"
mult8_cgp14ep_ep13107_wc18_5_wtmcla,21,10,190,70,113,7,6,4,421,2902,76,34,"[0, 0, 9, 4, 1, 0, 0, 0]","[490, 421]"
mult8_cgp14ep_ep13107_wc18_wtmcla,17,10,187,68,110,9,9,7,417,2908,74,40,"[0, 0, 8, 4, 1, 0, 0, 0]","[490, 417]"
mult8_cgp14ep_ep13107_wc194_wtmcla,19,10,179,66,113,10,10,7,414,2902,76,36,"[0, 0, 8, 4, 5, 0, 0, 0]","[490, 414]"
mult8_cgp14ep_ep13107_wc196_2_wtmcla,20,11,195,62,113,8,9,9,427,2924,75,42,"[0, 0, 5, 3, 1, 0, 0, 0]","[490, 427]"
mult8_cgp14ep_ep13107_wc196_wtmcla,21,10,182,67,110,9,11,7,417,2912,70,42,"[0, 0, 8, 5, 1, 0, 0, 0]","[490, 417]"
mult8_cgp14ep_ep13107_wc1_2_wtmcla,12,8,199,69,115,11,9,7,430,2883,84,40,"[0, 0, 8, 4, 1, 0, 0, 0]","[490, 430]"
mult8_cgp14ep_ep13107_wc1_3_wtmcla,14,13,206,67,113,3,9,7,432,2853,83,40,"[0, 0, 8, 3, 1, 0, 0, 0]","[490, 432]"
mult8_cgp14ep_ep13107_wc1_4_wtmcla,19,6,204,69,116,5,5,7,431,2879,83,42,"[0, 0, 3, 2, 1, 0, 0, 0]","[490, 431]"
mult8_cgp14ep_ep13107_wc1_5_wtmcla,14,9,203,75,115,4,7,7,434,2850,83,40,"[0, 0, 7, 4, 1, 0, 0, 0]","[490, 434]"
mult8_cgp14ep_ep13107_wc1_wtmcla,20,11,192,68,118,7,4,9,429,2872,83,40,"[0, 0, 8, 5, 1, 0, 0, 0]","[490, 429]"
mult8_cgp14ep_ep13107_wc200_wtmcla,24,11,190,63,111,7,11,9,426,2919,76,40,"[0, 0, 8, 5, 1, 0, 0, 0]","[490, 426]"
